iter	F1	Logloss
0	0.7720299679	0.6669092171
1	0.7870792751	0.640675049
2	0.7928806534	0.6186242142
3	0.796076027	0.5992377952
4	0.8006383501	0.5801101922
5	0.799707067	0.5628953305
6	0.8046174629	0.5478271954
7	0.8093949828	0.5337260615
8	0.8074211503	0.5201067307
9	0.8092713599	0.5078466819
10	0.8087053295	0.496048111
11	0.8106706187	0.485151494
12	0.8115906289	0.4749555239
13	0.8140075915	0.4660353972
14	0.8145329569	0.4575228198
15	0.8150246305	0.4495419698
16	0.818047701	0.4420853449
17	0.8189559422	0.4347258292
18	0.8217455621	0.4276906163
19	0.8228191227	0.4219156267
20	0.8239515032	0.4165208631
21	0.8239802225	0.411526245
22	0.8265116854	0.4063668361
23	0.8255033557	0.4029568231
24	0.8259411107	0.398053287
25	0.8265572548	0.3941816391
26	0.8279985054	0.3895392359
27	0.8304809494	0.3851965525
28	0.8320239431	0.381163275
29	0.834104263	0.3774358809
30	0.8351868049	0.3740736338
31	0.8329994992	0.3712535045
32	0.8338550144	0.3681030728
33	0.8357760241	0.3651184967
34	0.8346713497	0.36204187
35	0.8328932478	0.359414897
36	0.8365239295	0.3566089367
37	0.8362580482	0.3543107717
38	0.8375442142	0.351225872
39	0.8377387125	0.3490369378
40	0.8383915023	0.3472191515
41	0.8388157895	0.3458650879
42	0.8396811337	0.3435684426
43	0.8428807316	0.3417124036
44	0.8422256098	0.3401592337
45	0.843309188	0.3379776716
46	0.8422256098	0.3364324552
47	0.8435356871	0.3346599075
48	0.8439526898	0.3328788875
49	0.8448012232	0.3307128008
50	0.845899134	0.3286398856
51	0.8465648855	0.3266859915
52	0.8472116119	0.3249083405
53	0.8478676003	0.3235327526
54	0.8474446987	0.3223067743
55	0.8500572301	0.320892952
56	0.851150375	0.319347248
57	0.8518047789	0.3179318403
58	0.8520076482	0.31662006
59	0.8520076482	0.3151479222
60	0.8511289705	0.3136240191
61	0.8513513514	0.3124290444
62	0.8524338827	0.3112602218
63	0.8541853035	0.3101515945
64	0.8555001916	0.308818371
65	0.8552799795	0.3077117043
66	0.8557175748	0.3068594869
67	0.856374808	0.3057219919
68	0.8568135246	0.3045410039
69	0.8570332481	0.3031590289
70	0.8572525925	0.3020654244
71	0.8579109063	0.3009203888
72	0.859225163	0.2998095576
73	0.8601023018	0.2986375904
74	0.8596670935	0.2975073941
75	0.8596716265	0.2966202179
76	0.8583525789	0.2953462348
77	0.8598922248	0.2941362447
78	0.8594552929	0.2931158232
79	0.8590155507	0.2921673138
80	0.8598946963	0.2914317143
81	0.8605546995	0.2903270886
82	0.8598946963	0.289501581
83	0.8601156069	0.2883844675
84	0.8612145333	0.2874773478
85	0.8616610954	0.2867066008
86	0.8621044507	0.285988285
87	0.8640739315	0.2852856988
88	0.8664955071	0.2843625511
89	0.8665039188	0.2835121976
90	0.8667266418	0.2829058875
91	0.8662813102	0.2820999902
92	0.867386276	0.2811626209
93	0.8680555556	0.2803398295
94	0.8691408758	0.279300669
95	0.8689282961	0.2786925227
96	0.8697996918	0.2776951604
97	0.8713150474	0.2771046043
98	0.8713150474	0.2766344864
99	0.8726712065	0.2758736656
100	0.8722365039	0.2749756285
101	0.8720123362	0.2742991239
102	0.8726712065	0.2738321991
103	0.8733444773	0.2731251779
104	0.8740035999	0.2723951905
105	0.873793902	0.2716432743
106	0.8742130284	0.2710298228
107	0.8735691318	0.2702642561
108	0.8744533059	0.2695991745
109	0.8770712909	0.2689736236
110	0.8792704855	0.2683314043
111	0.8797224364	0.2677420675
112	0.8808117133	0.267119474
113	0.8821263482	0.2666430088
114	0.8825796506	0.2660881978
115	0.8821488241	0.2655783568
116	0.883033419	0.2648813958
117	0.883033419	0.2641524199
118	0.8832604783	0.2635181498
119	0.8823983531	0.2629258599
120	0.8839182414	0.2623518457
121	0.8839182414	0.2617286593
122	0.8841455574	0.2610411284
123	0.8843729904	0.260328472
124	0.8846005403	0.2596734035
125	0.8850308642	0.2589573705
126	0.8852585542	0.2584837953
127	0.8863461044	0.2579820416
128	0.8865476038	0.2572903138
129	0.8865740741	0.2569010159
130	0.8880894257	0.2565686418
131	0.8880894257	0.2557452783
132	0.888317697	0.2550645139
133	0.8894026975	0.2545691576
134	0.8892030848	0.2541895404
135	0.8900887003	0.2534259501
136	0.8894317305	0.2528783759
137	0.8903176032	0.2523279285
138	0.8903176032	0.2517478789
139	0.8905466238	0.2513580138
140	0.8900887003	0.2510486057
141	0.8898599152	0.2505769114
