iter	Passed	Remaining
0	52	105606
1	57	56997
2	62	41407
3	68	34427
4	75	30129
5	82	27478
6	86	24635
7	89	22229
8	92	20374
9	94	18873
10	98	17779
11	102	16950
12	105	16077
13	109	15506
14	111	14802
15	115	14354
16	119	13938
17	122	13482
18	125	13058
19	127	12599
20	129	12171
21	131	11778
22	132	11417
23	134	11076
24	136	10796
25	138	10542
26	140	10283
27	142	10036
28	144	9826
29	146	9646
30	149	9480
31	151	9291
32	152	9107
33	155	8967
34	157	8817
35	159	8685
36	161	8549
37	163	8451
38	165	8335
39	167	8208
40	169	8094
41	171	8017
42	173	7917
43	175	7818
44	177	7717
45	179	7638
46	181	7554
47	183	7474
48	185	7388
49	187	7322
50	189	7254
51	191	7190
52	193	7119
53	195	7050
54	197	6984
55	199	6912
56	200	6850
57	202	6789
58	204	6727
59	206	6664
60	207	6603
61	209	6542
62	210	6486
63	212	6433
64	214	6377
65	216	6330
66	217	6279
67	219	6227
68	220	6179
69	222	6131
70	224	6089
71	225	6044
72	227	6001
73	229	5967
74	230	5927
75	232	5890
76	234	5854
77	236	5818
78	237	5782
79	239	5747
80	241	5710
81	242	5673
82	244	5637
83	245	5605
84	247	5578
85	249	5550
86	250	5517
87	252	5486
88	254	5454
89	255	5430
90	257	5405
91	259	5383
92	261	5358
93	262	5331
94	264	5304
95	266	5278
96	267	5252
97	269	5227
98	270	5202
99	272	5177
100	274	5155
101	275	5134
102	277	5111
103	279	5087
104	280	5065
105	282	5042
106	283	5020
107	285	4998
108	286	4977
109	288	4956
110	290	4936
111	291	4917
112	293	4898
113	295	4880
114	297	4869
115	298	4853
116	300	4841
117	302	4824
118	304	4806
119	305	4789
120	307	4773
121	309	4757
122	310	4740
123	312	4734
124	314	4719
125	316	4702
126	317	4689
127	319	4672
128	321	4657
129	322	4643
130	324	4630
131	326	4615
132	327	4600
133	329	4586
134	331	4574
135	332	4560
136	334	4551
137	336	4542
138	338	4535
139	341	4530
140	343	4522
141	345	4515
142	347	4510
143	349	4499
144	351	4492
145	353	4484
146	355	4477
147	357	4470
148	359	4462
149	361	4456
150	363	4445
151	364	4433
152	366	4420
153	367	4408
154	369	4399
155	371	4387
156	372	4376
157	374	4365
158	376	4354
159	377	4342
160	379	4332
161	380	4321
162	382	4314
163	384	4309
164	386	4300
165	388	4289
166	390	4283
167	391	4274
168	393	4266
169	395	4258
170	397	4248
171	398	4237
172	400	4229
173	402	4226
174	404	4221
175	406	4212
176	408	4203
177	409	4193
178	411	4184
179	413	4175
180	414	4166
181	416	4157
182	417	4148
183	419	4140
184	421	4130
185	423	4127
186	425	4123
187	427	4116
188	428	4107
189	430	4098
190	431	4089
191	433	4081
192	435	4072
193	436	4063
194	438	4058
195	440	4054
196	442	4046
197	443	4038
198	445	4030
199	446	4022
200	448	4013
201	450	4005
202	451	3997
203	453	3989
204	455	3984
205	457	3980
206	459	3976
207	461	3974
208	463	3969
209	464	3963
210	466	3955
211	468	3948
212	469	3939
213	471	3935
214	473	3929
215	475	3925
216	477	3919
217	479	3921
218	481	3914
219	482	3907
220	484	3900
221	486	3894
222	487	3886
223	489	3880
224	491	3873
225	492	3866
226	494	3861
227	496	3858
228	498	3852
229	499	3845
230	501	3839
231	503	3833
232	504	3827
233	506	3821
234	507	3815
235	509	3809
236	511	3803
237	512	3797
238	514	3790
239	516	3784
240	517	3780
241	519	3776
242	521	3771
243	523	3766
244	525	3763
245	527	3761
246	529	3758
247	531	3756
248	533	3753
249	535	3750
250	537	3748
251	540	3746
252	541	3740
253	543	3736
254	545	3732
255	547	3729
256	549	3723
257	550	3720
258	552	3713
259	554	3708
260	555	3702
261	557	3697
262	559	3693
263	561	3689
264	562	3684
265	564	3680
266	566	3678
267	568	3673
268	570	3668
269	571	3664
270	573	3660
271	575	3655
272	577	3651
273	579	3647
274	580	3642
275	582	3636
276	583	3631
277	585	3627
278	587	3622
279	588	3617
280	590	3612
281	592	3607
282	594	3604
283	595	3599
284	597	3594
285	599	3591
286	601	3588
287	602	3584
288	604	3581
289	606	3576
290	608	3571
291	609	3566
292	611	3563
293	613	3559
294	614	3554
295	616	3549
296	618	3546
297	620	3541
298	621	3536
299	623	3531
300	625	3528
301	627	3525
302	629	3523
303	630	3517
304	632	3515
305	634	3512
306	636	3510
307	638	3508
308	640	3506
309	642	3504
310	644	3501
311	646	3497
312	648	3496
313	650	3491
314	652	3489
315	654	3485
316	655	3480
317	657	3477
318	659	3473
319	660	3469
320	662	3465
321	664	3460
322	665	3457
323	667	3453
324	669	3448
325	670	3445
326	672	3442
327	675	3440
328	677	3439
329	679	3437
330	681	3435
331	683	3432
332	685	3431
333	687	3429
334	689	3427
335	691	3423
336	693	3420
337	694	3416
338	696	3411
339	697	3407
340	700	3406
341	702	3403
342	704	3401
343	705	3398
344	708	3396
345	709	3392
346	711	3388
347	713	3384
348	714	3381
349	716	3378
350	718	3374
351	720	3371
352	721	3367
353	723	3363
354	724	3358
355	726	3355
356	728	3352
357	730	3348
358	731	3344
359	733	3341
360	735	3337
361	736	3333
362	738	3329
363	740	3327
364	741	3323
365	743	3319
366	745	3315
367	747	3313
368	748	3310
369	750	3306
370	752	3302
371	754	3300
372	756	3298
373	758	3296
374	760	3294
375	762	3291
376	763	3287
377	765	3283
378	767	3280
379	769	3278
380	770	3274
381	772	3270
382	773	3267
383	775	3264
384	777	3260
385	779	3257
386	780	3254
387	783	3253
388	785	3251
389	787	3249
390	789	3248
391	791	3246
392	793	3245
393	795	3244
394	797	3240
395	799	3237
396	800	3234
397	802	3231
398	804	3227
399	805	3223
400	807	3221
401	809	3218
402	811	3214
403	812	3211
404	814	3208
405	816	3206
406	818	3204
407	820	3202
408	822	3200
409	824	3197
410	826	3193
411	827	3190
412	829	3187
413	831	3183
414	832	3179
415	834	3176
416	836	3173
417	837	3170
418	839	3167
419	840	3163
420	842	3160
421	844	3157
422	846	3155
423	848	3153
424	850	3151
425	852	3149
426	854	3146
427	855	3143
428	857	3140
429	859	3136
430	860	3133
431	862	3129
432	863	3125
433	865	3122
434	866	3118
435	868	3115
436	870	3112
437	871	3108
438	873	3105
439	875	3103
440	877	3101
441	879	3099
442	880	3096
443	882	3092
444	884	3089
445	885	3086
446	887	3083
447	889	3080
448	890	3077
449	892	3073
450	893	3070
451	895	3067
452	897	3063
453	899	3061
454	901	3060
455	903	3058
456	905	3055
457	906	3052
458	908	3050
459	910	3048
460	912	3045
461	913	3042
462	915	3039
463	917	3036
464	919	3033
465	920	3030
466	922	3027
467	923	3023
468	925	3020
469	926	3017
470	928	3013
471	929	3010
472	931	3007
473	933	3004
474	934	3001
475	936	2999
476	938	2997
477	940	2995
478	942	2994
479	945	2992
480	946	2989
481	948	2986
482	949	2983
483	951	2980
484	953	2976
485	954	2973
486	956	2970
487	957	2967
488	959	2964
489	961	2961
490	963	2959
491	965	2958
492	967	2956
493	969	2955
494	971	2953
495	973	2952
496	975	2950
497	977	2948
498	979	2945
499	980	2942
500	982	2939
501	984	2937
502	985	2934
503	987	2931
504	989	2927
505	990	2924
506	992	2921
507	993	2918
508	995	2915
509	997	2913
510	998	2910
511	1000	2906
512	1001	2903
513	1003	2901
514	1005	2898
515	1006	2895
516	1008	2893
517	1010	2890
518	1012	2888
519	1014	2886
520	1016	2884
521	1017	2882
522	1019	2879
523	1021	2876
524	1023	2874
525	1024	2871
526	1026	2869
527	1028	2866
528	1029	2863
529	1031	2860
530	1032	2857
531	1035	2856
532	1037	2854
533	1038	2851
534	1040	2849
535	1042	2847
536	1044	2844
537	1045	2841
538	1047	2838
539	1048	2835
540	1050	2832
541	1052	2830
542	1053	2827
543	1055	2825
544	1057	2823
545	1059	2820
546	1060	2817
547	1062	2814
548	1063	2811
549	1065	2809
550	1067	2806
551	1068	2803
552	1070	2800
553	1072	2798
554	1073	2795
555	1075	2792
556	1077	2790
557	1078	2787
558	1080	2784
559	1081	2781
560	1083	2780
561	1085	2778
562	1087	2777
563	1090	2775
564	1091	2773
565	1093	2770
566	1095	2767
567	1096	2764
568	1098	2761
569	1099	2759
570	1101	2756
571	1103	2753
572	1104	2750
573	1106	2748
574	1108	2745
575	1109	2743
576	1111	2740
577	1113	2738
578	1115	2736
579	1116	2734
580	1118	2731
581	1119	2728
582	1121	2725
583	1123	2723
584	1124	2720
585	1126	2718
586	1128	2716
587	1131	2717
588	1133	2715
589	1135	2713
590	1137	2712
591	1139	2710
592	1141	2708
593	1144	2707
594	1145	2705
595	1147	2702
596	1148	2700
597	1150	2697
598	1152	2694
599	1153	2692
600	1155	2689
601	1157	2687
602	1159	2686
603	1161	2684
604	1163	2682
605	1165	2681
606	1167	2679
607	1170	2678
608	1172	2677
609	1173	2674
610	1175	2672
611	1177	2669
612	1178	2667
613	1181	2666
614	1183	2665
615	1185	2662
616	1186	2660
617	1188	2657
618	1190	2655
619	1192	2653
620	1193	2651
621	1195	2649
622	1197	2647
623	1199	2644
624	1200	2642
625	1202	2639
626	1204	2638
627	1206	2636
628	1208	2634
629	1210	2632
630	1212	2629
631	1213	2627
632	1215	2624
633	1217	2622
634	1218	2619
635	1220	2618
636	1222	2615
637	1224	2613
638	1225	2611
639	1227	2609
640	1229	2606
641	1231	2604
642	1232	2601
643	1234	2599
644	1236	2596
645	1237	2593
646	1239	2591
647	1240	2589
648	1242	2586
649	1244	2584
650	1245	2581
651	1247	2579
652	1249	2576
653	1250	2574
654	1252	2571
655	1254	2569
656	1255	2567
657	1258	2566
658	1260	2564
659	1262	2563
660	1264	2561
661	1266	2559
662	1267	2556
663	1269	2554
664	1270	2551
665	1272	2549
666	1274	2546
667	1276	2544
668	1278	2542
669	1280	2541
670	1281	2538
671	1283	2536
672	1284	2533
673	1286	2531
674	1288	2529
675	1290	2527
676	1291	2524
677	1293	2522
678	1295	2520
679	1297	2518
680	1298	2515
681	1300	2513
682	1302	2512
683	1304	2510
684	1306	2508
685	1308	2506
686	1310	2503
687	1311	2501
688	1313	2499
689	1315	2496
690	1316	2494
691	1318	2491
692	1319	2489
693	1321	2487
694	1323	2485
695	1325	2483
696	1327	2481
697	1328	2478
698	1330	2476
699	1332	2474
700	1333	2471
701	1335	2469
702	1337	2467
703	1339	2465
704	1340	2462
705	1342	2460
706	1344	2458
707	1345	2455
708	1347	2453
709	1349	2452
710	1351	2449
711	1353	2447
712	1354	2445
713	1356	2443
714	1358	2440
715	1359	2438
716	1361	2436
717	1363	2433
718	1364	2431
719	1366	2428
720	1367	2426
721	1369	2424
722	1371	2422
723	1373	2420
724	1374	2417
725	1376	2415
726	1378	2413
727	1379	2410
728	1381	2408
729	1383	2406
730	1384	2403
731	1386	2402
732	1388	2399
733	1389	2397
734	1391	2394
735	1393	2392
736	1394	2390
737	1396	2388
738	1398	2386
739	1399	2383
740	1401	2381
741	1403	2379
742	1405	2378
743	1407	2375
744	1409	2373
745	1411	2372
746	1413	2370
747	1415	2369
748	1417	2367
749	1419	2366
750	1421	2364
751	1424	2363
752	1426	2361
753	1427	2359
754	1429	2357
755	1431	2354
756	1432	2352
757	1434	2350
758	1435	2347
759	1437	2345
760	1439	2343
761	1440	2340
762	1442	2338
763	1444	2336
764	1445	2333
765	1447	2331
766	1448	2328
767	1450	2326
768	1452	2324
769	1453	2322
770	1455	2320
771	1457	2317
772	1458	2315
773	1460	2313
774	1461	2310
775	1463	2308
776	1464	2305
777	1466	2303
778	1468	2301
779	1470	2299
780	1471	2296
781	1473	2294
782	1474	2292
783	1476	2290
784	1478	2288
785	1480	2286
786	1482	2284
787	1484	2283
788	1486	2281
789	1488	2279
790	1489	2277
791	1491	2274
792	1493	2272
793	1494	2270
794	1496	2268
795	1498	2266
796	1500	2264
797	1501	2262
798	1503	2260
799	1505	2258
800	1506	2255
801	1508	2253
802	1510	2251
803	1511	2249
804	1513	2246
805	1515	2244
806	1517	2242
807	1518	2240
808	1520	2238
809	1521	2235
810	1523	2233
811	1525	2231
812	1526	2229
813	1528	2226
814	1530	2224
815	1532	2223
816	1535	2222
817	1536	2220
818	1538	2218
819	1540	2216
820	1541	2214
821	1543	2212
822	1545	2210
823	1548	2209
824	1552	2211
825	1555	2210
826	1560	2212
827	1563	2213
828	1568	2215
829	1572	2217
830	1575	2216
831	1580	2218
832	1582	2217
833	1584	2215
834	1586	2214
835	1589	2213
836	1592	2213
837	1596	2213
838	1600	2214
839	1602	2212
840	1604	2210
841	1605	2208
842	1607	2206
843	1609	2203
844	1610	2201
845	1612	2199
846	1614	2197
847	1615	2194
848	1617	2192
849	1618	2190
850	1620	2187
851	1621	2185
852	1623	2183
853	1625	2180
854	1626	2178
855	1628	2176
856	1629	2173
857	1631	2172
858	1633	2170
859	1635	2168
860	1637	2165
861	1638	2163
862	1640	2161
863	1642	2159
864	1643	2156
865	1645	2154
866	1646	2152
867	1648	2150
868	1650	2147
869	1651	2145
870	1653	2143
871	1654	2140
872	1656	2138
873	1658	2136
874	1659	2134
875	1661	2131
876	1663	2129
877	1664	2127
878	1666	2124
879	1667	2122
880	1669	2120
881	1671	2118
882	1672	2115
883	1674	2113
884	1676	2111
885	1677	2109
886	1679	2107
887	1681	2105
888	1682	2102
889	1684	2100
890	1685	2098
891	1687	2096
892	1689	2093
893	1690	2091
894	1692	2089
895	1693	2086
896	1695	2084
897	1697	2082
898	1698	2080
899	1700	2078
900	1701	2075
901	1703	2073
902	1705	2071
903	1706	2069
904	1708	2067
905	1709	2064
906	1711	2062
907	1713	2060
908	1714	2058
909	1716	2055
910	1718	2053
911	1719	2051
912	1721	2049
913	1723	2047
914	1724	2045
915	1726	2043
916	1728	2041
917	1729	2038
918	1731	2036
919	1733	2034
920	1734	2032
921	1736	2030
922	1737	2027
923	1739	2025
924	1741	2023
925	1742	2021
926	1744	2018
927	1745	2016
928	1747	2014
929	1748	2012
930	1750	2009
931	1752	2007
932	1753	2005
933	1755	2003
934	1756	2000
935	1758	1998
936	1759	1996
937	1761	1994
938	1763	1992
939	1764	1990
940	1766	1987
941	1768	1985
942	1769	1983
943	1771	1982
944	1773	1980
945	1775	1978
946	1777	1976
947	1779	1974
948	1780	1972
949	1782	1969
950	1784	1968
951	1786	1966
952	1787	1964
953	1789	1962
954	1791	1959
955	1792	1957
956	1794	1955
957	1796	1954
958	1798	1952
959	1800	1950
960	1802	1948
961	1804	1947
962	1806	1944
963	1807	1942
964	1809	1940
965	1810	1938
966	1812	1936
967	1813	1933
968	1815	1931
969	1817	1929
970	1818	1927
971	1820	1925
972	1822	1923
973	1823	1921
974	1825	1918
975	1826	1916
976	1828	1914
977	1829	1912
978	1831	1910
979	1832	1907
980	1834	1905
981	1836	1903
982	1837	1901
983	1839	1899
984	1841	1897
985	1843	1895
986	1845	1893
987	1847	1891
988	1848	1889
989	1850	1887
990	1852	1885
991	1853	1883
992	1855	1881
993	1858	1880
994	1860	1879
995	1862	1877
996	1865	1876
997	1867	1874
998	1869	1873
999	1871	1871
1000	1873	1869
1001	1875	1867
1002	1877	1866
1003	1879	1864
1004	1881	1862
1005	1883	1860
1006	1885	1858
1007	1887	1857
1008	1888	1855
1009	1890	1852
1010	1892	1851
1011	1894	1849
1012	1895	1847
1013	1897	1844
1014	1899	1842
1015	1900	1840
1016	1902	1838
1017	1903	1836
1018	1905	1834
1019	1907	1832
1020	1909	1831
1021	1911	1829
1022	1913	1827
1023	1915	1825
1024	1917	1823
1025	1919	1821
1026	1920	1819
1027	1922	1817
1028	1924	1816
1029	1926	1814
1030	1928	1812
1031	1930	1811
1032	1932	1809
1033	1934	1807
1034	1936	1805
1035	1938	1803
1036	1939	1801
1037	1941	1799
1038	1943	1797
1039	1945	1795
1040	1946	1793
1041	1948	1791
1042	1950	1789
1043	1951	1787
1044	1953	1785
1045	1955	1783
1046	1957	1782
1047	1959	1780
1048	1961	1778
1049	1963	1776
1050	1965	1774
1051	1967	1772
1052	1968	1770
1053	1970	1768
1054	1972	1766
1055	1973	1764
1056	1975	1762
1057	1977	1760
1058	1978	1758
1059	1980	1756
1060	1982	1754
1061	1983	1752
1062	1985	1750
1063	1987	1748
1064	1989	1746
1065	1991	1744
1066	1993	1743
1067	1995	1741
1068	1997	1739
1069	1998	1737
1070	2000	1735
1071	2002	1733
1072	2004	1731
1073	2005	1729
1074	2007	1727
1075	2009	1725
1076	2010	1723
1077	2012	1721
1078	2013	1718
1079	2015	1716
1080	2016	1714
1081	2018	1712
1082	2020	1710
1083	2021	1708
1084	2023	1706
1085	2024	1704
1086	2026	1702
1087	2028	1700
1088	2029	1698
1089	2031	1695
1090	2033	1693
1091	2034	1691
1092	2036	1689
1093	2038	1687
1094	2039	1685
1095	2041	1683
1096	2042	1681
1097	2044	1679
1098	2046	1677
1099	2047	1675
1100	2049	1673
1101	2051	1671
1102	2052	1669
1103	2054	1667
1104	2055	1665
1105	2057	1663
1106	2059	1661
1107	2060	1658
1108	2062	1656
1109	2064	1654
1110	2065	1652
1111	2067	1650
1112	2068	1648
1113	2070	1646
1114	2071	1644
1115	2073	1642
1116	2075	1640
1117	2076	1638
1118	2078	1636
1119	2080	1634
1120	2081	1632
1121	2083	1630
1122	2085	1628
1123	2086	1626
1124	2088	1624
1125	2090	1622
1126	2091	1620
1127	2093	1618
1128	2095	1616
1129	2096	1614
1130	2098	1612
1131	2099	1610
1132	2101	1608
1133	2103	1606
1134	2104	1604
1135	2106	1601
1136	2107	1599
1137	2109	1597
1138	2110	1595
1139	2112	1593
1140	2114	1591
1141	2115	1589
1142	2117	1587
1143	2118	1585
1144	2120	1583
1145	2122	1581
1146	2123	1579
1147	2125	1577
1148	2127	1575
1149	2129	1573
1150	2131	1571
1151	2133	1570
1152	2135	1568
1153	2136	1566
1154	2138	1564
1155	2139	1562
1156	2141	1560
1157	2143	1558
1158	2146	1557
1159	2148	1555
1160	2150	1554
1161	2152	1552
1162	2154	1550
1163	2156	1548
1164	2158	1547
1165	2160	1545
1166	2162	1543
1167	2164	1541
1168	2166	1540
1169	2168	1538
1170	2170	1536
1171	2172	1535
1172	2174	1533
1173	2176	1531
1174	2178	1529
1175	2180	1527
1176	2182	1525
1177	2184	1524
1178	2185	1522
1179	2187	1520
1180	2189	1518
1181	2190	1516
1182	2192	1514
1183	2194	1512
1184	2195	1510
1185	2197	1508
1186	2198	1506
1187	2200	1504
1188	2202	1502
1189	2203	1500
1190	2205	1498
1191	2208	1496
1192	2209	1494
1193	2211	1492
1194	2213	1490
1195	2214	1488
1196	2216	1486
1197	2217	1484
1198	2219	1482
1199	2220	1480
1200	2222	1478
1201	2223	1476
1202	2225	1474
1203	2227	1472
1204	2228	1470
1205	2230	1468
1206	2231	1466
1207	2233	1464
1208	2235	1462
1209	2236	1460
1210	2238	1458
1211	2239	1456
1212	2241	1454
1213	2242	1452
1214	2244	1450
1215	2246	1448
1216	2248	1446
1217	2250	1444
1218	2251	1442
1219	2253	1440
1220	2255	1438
1221	2257	1437
1222	2259	1435
1223	2261	1433
1224	2262	1431
1225	2264	1429
1226	2266	1427
1227	2267	1425
1228	2269	1423
1229	2271	1422
1230	2273	1420
1231	2275	1418
1232	2276	1416
1233	2278	1414
1234	2279	1412
1235	2281	1410
1236	2283	1408
1237	2284	1406
1238	2286	1404
1239	2287	1402
1240	2289	1400
1241	2290	1398
1242	2292	1396
1243	2294	1394
1244	2295	1392
1245	2297	1390
1246	2299	1388
1247	2300	1386
1248	2302	1384
1249	2303	1382
1250	2305	1380
1251	2306	1378
1252	2308	1376
1253	2310	1374
1254	2311	1372
1255	2313	1370
1256	2315	1368
1257	2316	1366
1258	2318	1364
1259	2320	1362
1260	2322	1360
1261	2323	1358
1262	2325	1356
1263	2326	1354
1264	2328	1352
1265	2330	1350
1266	2331	1348
1267	2333	1347
1268	2334	1344
1269	2336	1343
1270	2338	1341
1271	2339	1339
1272	2341	1337
1273	2343	1335
1274	2344	1333
1275	2346	1331
1276	2347	1329
1277	2349	1327
1278	2350	1325
1279	2352	1323
1280	2354	1321
1281	2355	1319
1282	2357	1317
1283	2358	1315
1284	2360	1313
1285	2361	1311
1286	2363	1309
1287	2365	1307
1288	2366	1305
1289	2368	1303
1290	2370	1301
1291	2372	1299
1292	2373	1297
1293	2375	1295
1294	2377	1294
1295	2378	1292
1296	2380	1290
1297	2381	1288
1298	2383	1286
1299	2385	1284
1300	2386	1282
1301	2388	1280
1302	2390	1278
1303	2392	1276
1304	2393	1274
1305	2395	1272
1306	2397	1271
1307	2398	1269
1308	2400	1267
1309	2401	1265
1310	2403	1263
1311	2405	1261
1312	2406	1259
1313	2408	1257
1314	2410	1255
1315	2411	1253
1316	2413	1251
1317	2415	1249
1318	2416	1247
1319	2418	1245
1320	2419	1243
1321	2421	1241
1322	2423	1240
1323	2425	1238
1324	2427	1236
1325	2429	1234
1326	2431	1233
1327	2433	1231
1328	2435	1229
1329	2437	1227
1330	2439	1226
1331	2441	1224
1332	2445	1223
1333	2446	1221
1334	2448	1219
1335	2449	1217
1336	2451	1215
1337	2453	1213
1338	2455	1212
1339	2458	1210
1340	2460	1209
1341	2461	1207
1342	2463	1205
1343	2465	1203
1344	2467	1201
1345	2468	1199
1346	2470	1197
1347	2472	1195
1348	2475	1194
1349	2477	1192
1350	2479	1191
1351	2481	1189
1352	2483	1187
1353	2485	1185
1354	2486	1183
1355	2489	1182
1356	2490	1180
1357	2492	1178
1358	2494	1176
1359	2495	1174
1360	2497	1172
1361	2499	1170
1362	2500	1168
1363	2502	1166
1364	2503	1164
1365	2506	1163
1366	2508	1161
1367	2510	1159
1368	2512	1158
1369	2514	1156
1370	2516	1154
1371	2518	1152
1372	2521	1151
1373	2523	1149
1374	2525	1147
1375	2527	1146
1376	2529	1144
1377	2531	1142
1378	2532	1140
1379	2534	1138
1380	2536	1136
1381	2538	1135
1382	2540	1133
1383	2541	1131
1384	2543	1129
1385	2545	1127
1386	2546	1125
1387	2548	1123
1388	2550	1121
1389	2553	1120
1390	2555	1118
1391	2557	1117
1392	2559	1115
1393	2561	1113
1394	2562	1111
1395	2564	1109
1396	2565	1107
1397	2567	1105
1398	2569	1103
1399	2572	1102
1400	2574	1100
1401	2575	1098
1402	2577	1096
1403	2579	1095
1404	2581	1093
1405	2583	1091
1406	2585	1089
1407	2588	1088
1408	2590	1086
1409	2592	1084
1410	2593	1082
1411	2595	1080
1412	2597	1079
1413	2598	1077
1414	2600	1075
1415	2602	1073
1416	2604	1071
1417	2605	1069
1418	2607	1067
1419	2609	1065
1420	2610	1063
1421	2612	1061
1422	2613	1059
1423	2615	1057
1424	2617	1055
1425	2619	1054
1426	2620	1052
1427	2622	1050
1428	2624	1048
1429	2625	1046
1430	2627	1044
1431	2629	1043
1432	2631	1041
1433	2633	1039
1434	2635	1037
1435	2637	1035
1436	2638	1033
1437	2640	1031
1438	2641	1029
1439	2643	1028
1440	2645	1026
1441	2646	1024
1442	2648	1022
1443	2650	1020
1444	2651	1018
1445	2653	1016
1446	2655	1014
1447	2657	1013
1448	2659	1011
1449	2661	1009
1450	2662	1007
1451	2664	1005
1452	2666	1003
1453	2668	1001
1454	2669	999
1455	2671	998
1456	2673	996
1457	2674	994
1458	2676	992
1459	2677	990
1460	2679	988
1461	2681	986
1462	2683	984
1463	2685	983
1464	2686	981
1465	2688	979
1466	2689	977
1467	2691	975
1468	2693	973
1469	2694	971
1470	2696	969
1471	2698	967
1472	2700	966
1473	2701	964
1474	2703	962
1475	2704	960
1476	2706	958
1477	2708	956
1478	2709	954
1479	2711	952
1480	2713	950
1481	2715	949
1482	2717	947
1483	2719	945
1484	2721	943
1485	2722	941
1486	2724	939
1487	2726	938
1488	2727	936
1489	2729	934
1490	2731	932
1491	2733	930
1492	2734	928
1493	2736	926
1494	2739	925
